40
2
bpcccdmkk kcdpmkd
pdkpkkdmb dpbpkkkdm
db bd
mb bm
pd mdbddcmc
kcbcb cbkbc
cc ckdb
mpkkbp pbkkmp
mbpdccpmd ccbmdkpkm
dkpp mc
dpppbbccm dcbcbd
k pkcp
kppbbk bkppkb
cpm cmp
kbcddddd dkdddcdb
bpmmmmdp mdmmbmpp
d d
bcpbp kdd
pmppccb pcppcbm
kpddpb pmkp
cddppbp pc
bpbdkdkp kppbbdkd
kcckdpp pdpckkc
bpbb bpbb
cddp cppp
kbmpck kkmbcp
mdmkcpk mpkckmd
ccmdpbp cpdcpmb
dkp pdk
cbmpcbkcd dpbbccmkc
kcdccbbc pc
kkpckmkb cc
bdpkpc pkpcdb
kbbcp bpp
kkdkkpmpp ppp
dpmdbmccp bdmppcmdc
pckc cpck
dkpbdmbm mdbpkbdm
c c
pmbmp pmpmb
